ID;ID_MEDICO;VISITADO
1049;1226;NÃO
1050;1227;SIM
1051;1228;NÃO
1052;1229;NÃO
1053;1230;NÃO
1054;1231;NÃO
1055;1232;SIM
1056;1233;NÃO
1057;1234;SIM
1058;1235;SIM
1059;1236;NÃO
1060;1237;SIM
1061;1238;NÃO
1062;1239;NÃO
1063;1240;SIM
1064;1241;NÃO
1065;1242;NÃO
1066;1243;NÃO
1067;1244;NÃO
1068;1245;NÃO
1069;1246;NÃO
1070;1247;NÃO
1071;1248;NÃO
1072;1249;NÃO
1073;1250;SIM
1074;1251;SIM
1075;1252;NÃO
1076;1253;NÃO
1077;1254;NÃO
1078;1255;NÃO
1079;1256;NÃO
1080;1257;SIM
1081;1258;SIM
1082;1259;NÃO
1083;1260;SIM
1084;1261;SIM
1085;1262;NÃO
1086;1263;SIM
1087;1264;NÃO
1088;1265;NÃO
1089;1266;NÃO
1090;1267;NÃO
1091;1268;SIM
1092;1269;NÃO
1093;1270;SIM
1094;1271;NÃO
1095;1272;NÃO
1096;1273;NÃO
1097;1274;NÃO
1098;1275;NÃO
1099;1276;SIM
1100;1277;SIM
1101;1278;NÃO
1102;1279;SIM
1103;1280;NÃO
1104;1281;NÃO
1105;1282;NÃO
1106;1283;NÃO
1107;1284;SIM
1108;1286;NÃO
1109;1287;NÃO
1110;1288;NÃO
1111;1289;NÃO
1112;1290;NÃO
1113;1291;NÃO
1114;1292;NÃO
1115;1293;NÃO
1116;1294;SIM
1117;1295;SIM
1118;1296;NÃO
1119;1297;NÃO
1120;1298;SIM
1121;1299;NÃO
1122;1300;NÃO
1123;1301;SIM
1124;1302;NÃO
1125;1303;NÃO
1126;1304;NÃO
1127;1305;NÃO
1128;1306;NÃO
1129;1307;NÃO
1130;1308;NÃO
1131;1309;NÃO
1132;1310;SIM
1133;1311;NÃO
1134;1312;NÃO
1135;1313;NÃO
1136;1314;NÃO
1137;1315;NÃO
1138;1316;NÃO
1139;1317;NÃO
1140;1318;NÃO
1141;1319;NÃO
1142;1320;NÃO
1143;1321;NÃO
1144;1322;NÃO
1145;1323;NÃO
1146;1324;SIM
1147;1325;NÃO
1148;1326;NÃO
1149;1327;NÃO
1150;1328;NÃO
1151;1329;NÃO
1152;1330;NÃO
1153;1331;NÃO
1154;1332;NÃO
1155;1333;NÃO
1156;1334;NÃO
1157;1335;NÃO
1158;1336;NÃO
1159;1337;SIM
1160;1338;NÃO
1161;1339;NÃO
1162;1340;NÃO
1163;1341;NÃO
1164;1342;NÃO
1165;1343;NÃO
1166;1344;NÃO
1167;1345;NÃO
1168;1346;NÃO
1169;1347;NÃO
1170;1348;SIM
1171;1349;NÃO
1172;1350;NÃO
1173;1352;SIM
1174;1353;NÃO
1175;1354;NÃO
1176;1355;NÃO
1177;1356;NÃO
1178;1357;NÃO
1179;1358;NÃO
1180;1359;NÃO
1181;1360;SIM
1182;1361;NÃO
1183;1362;NÃO
1184;1363;NÃO
1185;1364;NÃO
1186;1365;NÃO
1187;1366;NÃO
1188;1367;NÃO
1189;1368;SIM
1190;1369;NÃO
1191;1370;NÃO
1192;1371;NÃO
1193;1372;NÃO
1194;1373;NÃO
1195;1374;SIM
1196;1375;NÃO
1197;1376;NÃO
1198;1377;NÃO
1199;1378;NÃO
1200;1379;NÃO
1201;1380;NÃO
1202;1381;NÃO
1203;1382;NÃO
1204;1383;NÃO
1205;1384;NÃO
1206;1385;NÃO
1207;1386;SIM
1208;1387;NÃO
1209;1388;NÃO
1210;1389;NÃO
1211;1390;NÃO
1212;1391;NÃO
1213;1392;NÃO
1214;1393;NÃO
1215;1395;NÃO
1216;1396;NÃO
1217;1397;NÃO
1218;1399;NÃO
1219;1400;NÃO
1220;1401;NÃO
1221;1402;NÃO
1222;1404;NÃO
1223;1405;SIM
1224;1406;NÃO
1225;1407;NÃO
1226;1408;NÃO
1227;1409;NÃO
1228;1410;NÃO
1229;1411;NÃO
1230;1412;NÃO
1231;1413;NÃO
1232;1414;NÃO
1233;1415;NÃO
1234;1416;NÃO
1235;1417;NÃO
1236;1418;NÃO
1237;1419;NÃO
1238;1420;NÃO
1239;1421;NÃO
1240;1422;NÃO
1241;1423;NÃO
1242;1424;NÃO
1243;1425;NÃO
1244;1426;NÃO
1245;1427;NÃO
1246;1428;NÃO
1247;1429;NÃO
1248;1430;NÃO
1249;1431;SIM
1250;1432;NÃO
1251;1433;NÃO
1252;1434;SIM
1253;1435;NÃO
1254;1436;NÃO
1255;1437;NÃO
1256;1438;NÃO
1257;1439;NÃO
